Award,Category,Year,Nominee,Won,Tony
DramaDesk,FeaturedActress,2003,Sally Mayes,0,
DramaDesk,FeaturedActress,2003,Chita Rivera,0,
DramaDesk,FeaturedActress,2003,Debra Walton,0,
DramaDesk,FeaturedActress,2004,Isabel Keating,1,0
DramaDesk,FeaturedActress,2004,Lovette George,0,
DramaDesk,FeaturedActress,2004,Alix Korey,0,
DramaDesk,FeaturedActress,2004,Anika Noni Rose,0,
DramaDesk,FeaturedActress,2004,Jennifer Simard,0,
DramaDesk,FeaturedActress,2004,Mary Testa,0,
DramaDesk,FeaturedActress,2005,Jan Maxwell,1,0
DramaDesk,FeaturedActress,2005,Joanna Gleason,0,
DramaDesk,FeaturedActress,2005,Kecia Lewis,0,
DramaDesk,FeaturedActress,2005,Maureen McGovern,0,
DramaDesk,FeaturedActress,2005,Jennifer Simard,0,
DramaDesk,FeaturedActress,2005,Sarah Uriarte Berry,0,
DramaDesk,FeaturedActress,2006,Beth Leavel,1,1
DramaDesk,FeaturedActress,2006,Carolee Carmello,0,
DramaDesk,FeaturedActress,2006,Leslie Kritzer,0,
DramaDesk,FeaturedActress,2006,Amy Spanger,0,
DramaDesk,FeaturedActress,2006,Mary Testa,0,
DramaDesk,FeaturedActress,2006,Mary Louise Wilson,0,
DramaDesk,FeaturedActress,2007,Debra Monk,1,0
DramaDesk,FeaturedActress,2007,Linda Balgord,0,
DramaDesk,FeaturedActress,2007,Celia Keenan-Bolger,0,
DramaDesk,FeaturedActress,2007,Orfeh,0,
DramaDesk,FeaturedActress,2007,Barbara Walsh,0,
DramaDesk,FeaturedActress,2007,Karen Ziemba,0,
DramaDesk,FeaturedActress,2008,Laura Benanti,1,1
DramaDesk,FeaturedActress,2008,Leslie Kritzer,0,
DramaDesk,FeaturedActress,2008,Andrea Martin,0,
DramaDesk,FeaturedActress,2008,Mary Testa,0,
DramaDesk,FeaturedActress,2008,Amy Warren,0,
DramaDesk,FeaturedActress,2008,Mare Winningham,0,
DramaDesk,FeaturedActress,2009,Haydn Gwynne,1,0
DramaDesk,FeaturedActress,2009,Farah Alvin,0,
DramaDesk,FeaturedActress,2009,Christina Bianco,0,
DramaDesk,FeaturedActress,2009,Karen Olivo,0,
DramaDesk,FeaturedActress,2009,Nancy Opel,0,
DramaDesk,FeaturedActress,2009,Martha Plimpton,0,
DramaDesk,FeaturedActress,2010,Katie Finneran,1,1
DramaDesk,FeaturedActress,2010,Carolee Carmello,0,
DramaDesk,FeaturedActress,2010,Carrie Cimma,0,
DramaDesk,FeaturedActress,2010,Angela Lansbury,0,
DramaDesk,FeaturedActress,2010,Kenita R. Miller,0,
DramaDesk,FeaturedActress,2010,Terri White,0,
DramaDesk,FeaturedActress,2011,Laura Benanti,1,0
DramaDesk,FeaturedActress,2011,Kerry Butler,0,
DramaDesk,FeaturedActress,2011,Victoria Clark,0,
DramaDesk,FeaturedActress,2011,Jill Eikenberry,0,
DramaDesk,FeaturedActress,2011,Nikki M. James,0,
DramaDesk,FeaturedActress,2011,Patti LuPone,0,
DramaDesk,FeaturedActress,2011,Laura Osnes,0,
DramaDesk,FeaturedActress,2012,Judy Kaye,1,1
DramaDesk,FeaturedActress,2012,Marin Mazzie,0,
DramaDesk,FeaturedActress,2012,Jessie Mueller,0,
DramaDesk,FeaturedActress,2012,Elaine Paige,0,
DramaDesk,FeaturedActress,2012,Sarah Sokolovic,0,
DramaDesk,FeaturedActress,2012,Melissa van der Schyff,0,
DramaDesk,FeaturedActress,2013,Andrea Martin,1,1
DramaDesk,FeaturedActress,2013,Annaleigh Ashford,0,
DramaDesk,FeaturedActress,2013,Melissa Errico,0,
DramaDesk,FeaturedActress,2013,Jessie Mueller,0,
DramaDesk,FeaturedActress,2013,Christiane Noll,0,
DramaDesk,FeaturedActress,2013,Keala Settle,0,
DramaDesk,FeaturedActress,2013,Kate Wetherhead,0,
DramaDesk,FeaturedActress,2014,Anika Larsen,1,0
DramaDesk,FeaturedActress,2014,Lauren Worsham,0,
DramaDesk,FeaturedActress,2014,Stephanie J. Block,0,
DramaDesk,FeaturedActress,2014,Adriane Lenox,0,
DramaDesk,FeaturedActress,2014,Sydney Lucas,0,
DramaDesk,FeaturedActress,2014,Laura Osnes,0,
DramaDesk,FeaturedActress,2014,Jennifer Simard,0,
DramaDesk,FeaturedActress,2015,Renée Elise Goldsberry,1,1
DramaDesk,FeaturedActress,2015,Carolee Carmello,0,
DramaDesk,FeaturedActress,2015,Tyne Daly,0,
DramaDesk,FeaturedActress,2015,Elizabeth A. Davis,0,
DramaDesk,FeaturedActress,2015,Luba Mason,0,
DramaDesk,FeaturedActress,2015,Nancy Opel,0,
DramaDesk,FeaturedActress,2015,Elizabeth Stanley,0,
DramaDesk,FeaturedActress,2016,Jane Krakowski,1,0
DramaDesk,FeaturedActress,2016,Danielle Brooks,0,
DramaDesk,FeaturedActress,2016,Alison Fraser,0,
DramaDesk,FeaturedActress,2016,Rachel Bay Jones,0,
DramaDesk,FeaturedActress,2016,Mary Testa,0,
DramaDesk,FeaturedActress,2017,Jenn Colella,1,0
DramaDesk,FeaturedActress,2017,Kate Baldwin,0,
DramaDesk,FeaturedActress,2017,Stephanie J. Block,0,
DramaDesk,FeaturedActress,2017,Mary Beth Peil,0,
DramaDesk,FeaturedActress,2017,Nora Schell,0,
DramaDesk,FeaturedActress,2018,Lindsay Mendez,1,1
DramaDesk,FeaturedActress,2018,Kenita R. Miller,0,
DramaDesk,FeaturedActress,2018,Ashley Park,0,
DramaDesk,FeaturedActress,2018,Diana Rigg,0,
DramaDesk,FeaturedActress,2018,Kate Rockwell,0,
DramaDesk,Actor,2000,Brian Stokes Mitchell,1,1
DramaDesk,Actor,2000,Craig Bierko,0,
DramaDesk,Actor,2000,Brian d'Arcy James,0,
DramaDesk,Actor,2000,Boyd Gaines,0,
DramaDesk,Actor,2000,Mandy Patinkin,0,
DramaDesk,Actor,2001,Nathan Lane,1,1
DramaDesk,Actor,2001,Matthew Broderick,0,
DramaDesk,Actor,2001,Kevin Chamberlin,0,
DramaDesk,Actor,2001,Tom Hewitt,0,
DramaDesk,Actor,2001,Deven May,0,
DramaDesk,Actor,2001,Patrick Wilson,0,
DramaDesk,Actor,2002,John Lithgow,1,1
DramaDesk,Actor,2002,Norbert Leo Butz,0,
DramaDesk,Actor,2002,Brian d'Arcy James,0,
DramaDesk,Actor,2002,Raúl Esparza,0,
DramaDesk,Actor,2002,Peter Gallagher,0,
DramaDesk,Actor,2002,Patrick Wilson,0,
DramaDesk,Actor,2003,Antonio Banderas,1,0
DramaDesk,Actor,2003,Harvey Fierstein,0,
DramaDesk,Actor,2003,Malcolm Gets,0,
DramaDesk,Actor,2003,Jason Petty,0,
DramaDesk,Actor,2003,John Selya,0,
DramaDesk,Actor,2003,Brian Stokes Mitchell,0,
DramaDesk,Actor,2004,Hugh Jackman,1,1
DramaDesk,Actor,2004,Hunter Foster,0,
DramaDesk,Actor,2004,Tyrone Giordano,0,
DramaDesk,Actor,2004,Michael McElroy,0,
DramaDesk,Actor,2004,Alfred Molina,0,
DramaDesk,Actor,2004,Euan Morton,0,
DramaDesk,Actor,2005,Norbert Leo Butz,1,1
DramaDesk,Actor,2005,Hank Azaria,0,
DramaDesk,Actor,2005,Mike Burstyn,0,
DramaDesk,Actor,2005,Matthew Morrison,0,
DramaDesk,Actor,2005,David Hyde Pierce,0,
DramaDesk,Actor,2005,Bill Thompson,0,
DramaDesk,Actor,2006,John Lloyd Young,1,1
DramaDesk,Actor,2006,Michael Cerveris,0,
DramaDesk,Actor,2006,"Harry Connick, Jr.",0,
DramaDesk,Actor,2006,Marc Kudisch,0,
DramaDesk,Actor,2006,Stephen Lynch,0,
DramaDesk,Actor,2006,Bob Martin,0,
DramaDesk,Actor,2007,Raúl Esparza,1,0
DramaDesk,Actor,2007,Michael Cerveris,0,
DramaDesk,Actor,2007,"John Gallagher, Jr.",0,
DramaDesk,Actor,2007,Jonathan Groff,0,
DramaDesk,Actor,2007,David Hyde Pierce,0,
DramaDesk,Actor,2007,Martin Short,0,
DramaDesk,Actor,2008,Paulo Szot,1,1
DramaDesk,Actor,2008,Daniel Breaker,0,
DramaDesk,Actor,2008,Andre De Shields,0,
DramaDesk,Actor,2008,Daniel Evans,0,
DramaDesk,Actor,2008,Cheyenne Jackson,0,
DramaDesk,Actor,2008,Matthew Morrison,0,
DramaDesk,Actor,2009,Brian d'Arcy James,1,0
DramaDesk,Actor,2009,James Barbour,0,
DramaDesk,Actor,2009,Daniel Breaker,0,
DramaDesk,Actor,2009,Josh Grisetti,0,
DramaDesk,Actor,2009,Sahr Ngaujah,0,
DramaDesk,Actor,2009,Will Swenson,0,
DramaDesk,Actor,2010,Douglas Hodge,1,1
DramaDesk,Actor,2010,Brandon Victor Dixon,0,
DramaDesk,Actor,2010,Cheyenne Jackson,0,
DramaDesk,Actor,2010,Chad Kimball,0,
DramaDesk,Actor,2010,Nathan Lane,0,
DramaDesk,Actor,2010,Bobby Steggert,0,
DramaDesk,Actor,2011,Norbert Leo Butz,1,1
DramaDesk,Actor,2011,Colin Donnell,0,
DramaDesk,Actor,2011,Daniel Radcliffe,0,
DramaDesk,Actor,2011,Andrew Rannells,0,
DramaDesk,Actor,2011,Tony Sheldon,0,
DramaDesk,Actor,2011,Christopher Sieber,0,
DramaDesk,Actor,2012,Danny Burstein,1,0
DramaDesk,Actor,2012,Kevin Earley,0,
DramaDesk,Actor,2012,Raúl Esparza,0,
DramaDesk,Actor,2012,Jeremy Jordan,0,
DramaDesk,Actor,2012,Norm Lewis,0,
DramaDesk,Actor,2012,Ricky Martin,0,
DramaDesk,Actor,2013,Billy Porter,1,1
DramaDesk,Actor,2013,Eric Anderson,0,
DramaDesk,Actor,2013,Brian d'Arcy James,0,
DramaDesk,Actor,2013,Jim Norton,0,
DramaDesk,Actor,2013,Steve Rosen,0,
DramaDesk,Actor,2013,Ryan Silverman,0,
DramaDesk,Actor,2013,Anthony Warlow,0,
DramaDesk,Actor,2014,Neil Patrick Harris,1,1
DramaDesk,Actor,2014,Jefferson Mays,0,
DramaDesk,Actor,2014,Adam Jacobs,0,
DramaDesk,Actor,2014,Andy Karl,0,
DramaDesk,Actor,2014,Steven Pasquale,0,
DramaDesk,Actor,2014,Bryce Pinkham,0,
DramaDesk,Actor,2015,Robert Fairchild,1,0
DramaDesk,Actor,2015,Brian d'Arcy James,0,
DramaDesk,Actor,2015,Jeremy Kushnier,0,
DramaDesk,Actor,2015,Lin-Manuel Miranda,0,
DramaDesk,Actor,2015,Matthew Morrison,0,
DramaDesk,Actor,2015,Ryan Silverman,0,
DramaDesk,Actor,2016,Danny Burstein,1,0
DramaDesk,Actor,2016,Robert Creighton,0,
DramaDesk,Actor,2016,Michael C. Hall,0,
DramaDesk,Actor,2016,Zachary Levi,0,
DramaDesk,Actor,2016,Benjamin Walker,0,
DramaDesk,Actor,2017,Andy Karl,1,0
DramaDesk,Actor,2017,Nick Blaemire,0,
DramaDesk,Actor,2017,Jon Jon Briones,0,
DramaDesk,Actor,2017,Nick Cordero,0,
DramaDesk,Actor,2017,Jeremy Secomb,0,
DramaDesk,Actor,2018,Ethan Slater,1,0
DramaDesk,Actor,2018,Jelani Alladin,0,
DramaDesk,Actor,2018,Harry Hadden-Paton,0,
DramaDesk,Actor,2018,Joshua Henry,0,
DramaDesk,Actor,2018,Evan Ruggiero,0,
DramaDesk,FeaturedActor,2000,Stephen Spinella,1,0
DramaDesk,FeaturedActor,2000,Jason Antoon,0,
DramaDesk,FeaturedActor,2000,Christopher Fitzgerald,0,
DramaDesk,FeaturedActor,2000,Alistair Izobell,0,
DramaDesk,FeaturedActor,2000,Michael Mulheren,0,
DramaDesk,FeaturedActor,2000,Lee Wilkof,0,
DramaDesk,FeaturedActor,2001,Gary Beach,1,0
DramaDesk,FeaturedActor,2001,Roger Bart,0,
DramaDesk,FeaturedActor,2001,John Ellison Conlee,0,
DramaDesk,FeaturedActor,2001,André De Shields,0,
DramaDesk,FeaturedActor,2001,Mark Jacoby,0,
DramaDesk,FeaturedActor,2001,Jeff McCarthy,0,
DramaDesk,FeaturedActor,2002,Shuler Hensley,1,1
DramaDesk,FeaturedActor,2002,Justin Bohon,0,
DramaDesk,FeaturedActor,2002,Norbert Leo Butz,0,
DramaDesk,FeaturedActor,2002,Jerry Dixon,0,
DramaDesk,FeaturedActor,2002,Gregg Edelman,0,
DramaDesk,FeaturedActor,2002,Marc Kudisch,0,
DramaDesk,FeaturedActor,2003,Dick Latessa,1,1
DramaDesk,FeaturedActor,2003,John Dossett,0,
DramaDesk,FeaturedActor,2003,Christopher Fitzgerald,0,
DramaDesk,FeaturedActor,2003,Charles Keating,0,
DramaDesk,FeaturedActor,2003,Steven Pasquale,0,
DramaDesk,FeaturedActor,2003,Corey Reynolds,0,
DramaDesk,FeaturedActor,2004,Raúl Esparza,1,0
DramaDesk,FeaturedActor,2004,Joel Blum,0,
DramaDesk,FeaturedActor,2004,Jeffrey Carlson,0,
DramaDesk,FeaturedActor,2004,Mitchel David Federan,0,
DramaDesk,FeaturedActor,2004,Marc Kudisch,0,
DramaDesk,FeaturedActor,2004,Raymond Jaramillo McLeod,0,
DramaDesk,FeaturedActor,2005,Denis O'Hare,1,0
DramaDesk,FeaturedActor,2005,Christian Borle,0,
DramaDesk,FeaturedActor,2005,Gregory Jbara,0,
DramaDesk,FeaturedActor,2005,Norm Lewis,0,
DramaDesk,FeaturedActor,2005,Tyler Maynard,0,
DramaDesk,FeaturedActor,2005,Michael McGrath,0,
DramaDesk,FeaturedActor,2006,Jim Dale,1,0
DramaDesk,FeaturedActor,2006,Alexander Gemignani,0,
DramaDesk,FeaturedActor,2006,Christian Hoff,0,
DramaDesk,FeaturedActor,2006,Eddie Korbich,0,
DramaDesk,FeaturedActor,2006,John McMartin,0,
DramaDesk,FeaturedActor,2006,Daniel Reichard,0,
DramaDesk,FeaturedActor,2007,Gavin Lee,1,0
DramaDesk,FeaturedActor,2007,Brooks Ashmanskas,0,
DramaDesk,FeaturedActor,2007,Christian Borle,0,
DramaDesk,FeaturedActor,2007,Aaron Lazar,0,
DramaDesk,FeaturedActor,2007,Orville Mendoza,0,
DramaDesk,FeaturedActor,2007,David Pittu,0,
DramaDesk,FeaturedActor,2008,Boyd Gaines,1,1
DramaDesk,FeaturedActor,2008,Danny Burstein,0,
DramaDesk,FeaturedActor,2008,Christopher Fitzgerald,0,
DramaDesk,FeaturedActor,2008,Shuler Hensley,0,
DramaDesk,FeaturedActor,2008,Bobby Steggert,0,
DramaDesk,FeaturedActor,2008,Tom Wopat,0,
DramaDesk,FeaturedActor,2009,Gregory Jbara,1,1
DramaDesk,FeaturedActor,2009,Hunter Foster,0,
DramaDesk,FeaturedActor,2009,Demond Green,0,
DramaDesk,FeaturedActor,2009,Marc Kudisch,0,
DramaDesk,FeaturedActor,2009,Bryce Ryness,0,
DramaDesk,FeaturedActor,2009,Christopher Sieber,0,
DramaDesk,FeaturedActor,2010,Christopher Fitzgerald,1,0
DramaDesk,FeaturedActor,2010,Kevin Chamberlin,0,
DramaDesk,FeaturedActor,2010,Robin de Jesús,0,
DramaDesk,FeaturedActor,2010,Jeffry Denman,0,
DramaDesk,FeaturedActor,2010,Jeremy Morse,0,
DramaDesk,FeaturedActor,2010,Bobby Steggert,0,
DramaDesk,FeaturedActor,2011,John Larroquette,1,1
DramaDesk,FeaturedActor,2011,Adam Godley,0,
DramaDesk,FeaturedActor,2011,Brian Stokes Mitchell,0,
DramaDesk,FeaturedActor,2011,Rory O'Malley,0,
DramaDesk,FeaturedActor,2011,Bob Stillman,0,
DramaDesk,FeaturedActor,2011,Tom Wopat,0,
DramaDesk,FeaturedActor,2012,Michael McGrath,1,1
DramaDesk,FeaturedActor,2012,Phillip Boykin,0,
DramaDesk,FeaturedActor,2012,Matt Cavenaugh,0,
DramaDesk,FeaturedActor,2012,Michael Cerveris,0,
DramaDesk,FeaturedActor,2012,Patrick Page,0,
DramaDesk,FeaturedActor,2012,Andrew Samonsky,0,
DramaDesk,FeaturedActor,2013,Bertie Carvel,1,0
DramaDesk,FeaturedActor,2013,Stephen Bogardus,0,
DramaDesk,FeaturedActor,2013,John Bolton,0,
DramaDesk,FeaturedActor,2013,Keith Carradine,0,
DramaDesk,FeaturedActor,2013,John Dossett,0,
DramaDesk,FeaturedActor,2013,Andy Karl,0,
DramaDesk,FeaturedActor,2014,James Monroe Iglehart,1,1
DramaDesk,FeaturedActor,2014,Danny Burstein,0,
DramaDesk,FeaturedActor,2014,Nick Cordero,0,
DramaDesk,FeaturedActor,2014,Joshua Henry,0,
DramaDesk,FeaturedActor,2014,Rory O'Malley,0,
DramaDesk,FeaturedActor,2014,Bobby Steggert,0,
DramaDesk,FeaturedActor,2015,Christian Borle,1,1
DramaDesk,FeaturedActor,2015,Peter Friedman,0,
DramaDesk,FeaturedActor,2015,Josh Grisetti,0,
DramaDesk,FeaturedActor,2015,Andy Karl,0,
DramaDesk,FeaturedActor,2015,"Leslie Odom, Jr.",0,
DramaDesk,FeaturedActor,2015,Brad Oscar,0,
DramaDesk,FeaturedActor,2015,Max von Essen,0,
DramaDesk,FeaturedActor,2016,Christopher Fitzgerald,1,0
DramaDesk,FeaturedActor,2016,Nicholas Barasch,0,
DramaDesk,FeaturedActor,2016,Baylee Littrell,0,
DramaDesk,FeaturedActor,2016,Paul Alexander Nolan,0,
DramaDesk,FeaturedActor,2016,A.J. Shively,0,
DramaDesk,FeaturedActor,2017,Gavin Creel,1,1
DramaDesk,FeaturedActor,2017,Jeffry Denman,0,
DramaDesk,FeaturedActor,2017,George Salazar,0,
DramaDesk,FeaturedActor,2017,Ari'el Stachel,0,
DramaDesk,FeaturedActor,2017,Brandon Uranowitz,0,
DramaDesk,FeaturedActor,2018,Gavin Lee,1,0
DramaDesk,FeaturedActor,2018,Damon Daunno,0,
DramaDesk,FeaturedActor,2018,Alexander Gemignani,0,
DramaDesk,FeaturedActor,2018,Grey Henson,0,
DramaDesk,FeaturedActor,2018,Tony Yazbeck,0,
DramaDesk,Revival,2019,Carmen Jones,0,
DramaDesk,Revival,2019,Fiddler on the Roof,1,0
DramaDesk,Revival,2019,Kiss Me Kate,0,
DramaDesk,Revival,2019,Merrily We Roll Along,0,
DramaDesk,Revival,2019,Oklahoma!,0,1
DramaDesk,FeaturedActor,2019,Corbin Bleu,0,
DramaDesk,FeaturedActor,2019,Andre De Shields,1,1
DramaDesk,FeaturedActor,2019,Sydney James Harcourt,0,
DramaDesk,FeaturedActor,2019,George Salazar,0,
DramaDesk,FeaturedActor,2019,Patrick Vaill,0,
DramaDesk,FeaturedActress,2019,Stephanie Hsu,0,
DramaDesk,FeaturedActress,2019,Leslie Kritzer,0,
DramaDesk,FeaturedActress,2019,Soara-Joye Ross,0,
DramaDesk,FeaturedActress,2019,Sarah Stiles,0,
DramaDesk,FeaturedActress,2019,Ali Stroker,1,1
DramaDesk,FeaturedActress,2019,Mary Testa,0,
DramaDesk,Director,2019,Noah Brody,0,
DramaDesk,Director,2019,Rachel Chavkin,1,1
DramaDesk,Director,2019,Scott Ellis,0,
DramaDesk,Director,2019,Daniel Fish,0,
DramaDesk,Director,2019,Joel Grey,0,
DramaDesk,Score,2019,Andrew R. Butler,0,
DramaDesk,Score,2019,Joe Iconis,0,
DramaDesk,Score,2019,Peter Mills,0,
DramaDesk,Score,2019,Mark Sonnenblick,0,
DramaDesk,Score,2019,Shaina Taub,0,
DramaDesk,Score,2019,David Yazbek,1,0
DramaDesk,Actor,2019,Brooks Ashmanskas,0,
DramaDesk,Actor,2019,Andrew R. Butler,0,
DramaDesk,Actor,2019,Damon Daunno,0,
DramaDesk,Actor,2019,Santino Fontana,1,1
DramaDesk,Actor,2019,Steven Skybell,0,
DramaDesk,Actress,2019,Stephanie J. Block,1,1
DramaDesk,Actress,2019,Beth Leavel,0,
DramaDesk,Actress,2019,Rebecca Naomi Jones,0,
DramaDesk,Actress,2019,Anika Noni Rose,0,
DramaDesk,Actress,2019,Stacey Sargeant,0,
DramaDesk,Lead,2023,Annaleigh Ashford,1,0
DramaDesk,Lead,2023,J. Harrison Ghee,1,1
DramaDesk,Lead,2023,Nicholas Barasch,0,
DramaDesk,Lead,2023,Sara Bareilles,0,
DramaDesk,Lead,2023,Andrew Burnap,0,
DramaDesk,Lead,2023,Micaela Diamond,0,
DramaDesk,Lead,2023,Andrew Durand,0,
DramaDesk,Lead,2023,Callum Francis,0,
DramaDesk,Lead,2023,Jonathan Groff,0,
DramaDesk,Lead,2023,Somi Kakoma,0,
DramaDesk,Lead,2023,Lindsay Mendez,0,
DramaDesk,Lead,2023,Anna Uzele,,
DramaDesk,Lead,2024,Andrew Durand,,
DramaDesk,Lead,2024,Santino Fontana,,
DramaDesk,Lead,2024,Brody Grant,,
DramaDesk,Lead,2024,Brian d'Arcy James,1,
DramaDesk,Lead,2024,Maleah Joi Moon,1,
DramaDesk,Lead,2024,Kelli O'Hara,1,
DramaDesk,Lead,2024,Liam Pearce,,
DramaDesk,Lead,2024,Gayle Rankin,,
DramaDesk,Lead,2024,Ben Levi Ross,,
DramaDesk,Lead,2024,Ricky Ubeda,,
DramaDesk,Featured,2023,Kevin Del Aguila,1,0
DramaDesk,Featured,2023,Alex Newell,1,1
DramaDesk,Featured,2023,Kevin Cahoon,,
DramaDesk,Featured,2023,Robyn Hurder,,
DramaDesk,Featured,2023,Mark Jacoby,,
DramaDesk,Featured,2023,Tarra Conner Jones,,
DramaDesk,Featured,2023,Julia Lester,,
DramaDesk,Featured,2023,Daniel Radcliffe,,
DramaDesk,Featured,2023,Phillipa Soo,,
DramaDesk,Featured,2023,Mare Winningham,,
DramaDesk,Featured,2024,Shoshana Bean,,
DramaDesk,Featured,2024,Natalie Venetia Belcon,,
DramaDesk,Featured,2024,Dorian Harewood,,
DramaDesk,Featured,2024,Leslie Rodriguez Kritzer,,
DramaDesk,Featured,2024,Kecia Lewis,1,
DramaDesk,Featured,2024,Bebe Neuwirth,1,
DramaDesk,Featured,2024,Steven Pasquale,,
DramaDesk,Featured,2024,Maryann Plunkett,,
DramaDesk,Featured,2024,Thom Sesma,,
DramaDesk,Featured,2024,Emily Skinner,,
DramaDesk,LeadActor,2022,Jaquel Spivey,1,0
DramaDesk,LeadActor,2022,Billy Crystal,,
DramaDesk,LeadActor,2022,Myles Frost,,
DramaDesk,LeadActor,2022,Rob McClure,,
DramaDesk,LeadActor,2022,Chip Zien,,
DramaDesk,LeadActress,2022,Joaquina Kalukango,1,0
DramaDesk,LeadActress,2022,Kearstin Piper Brown,,
DramaDesk,LeadActress,2022,Victoria Clark,,
DramaDesk,LeadActress,2022,Sharon D. Clarke,,
DramaDesk,LeadActress,2022,Jeanna de Waal,,
DramaDesk,FeaturedActor,2022,Matt Doyle,1,1
DramaDesk,FeaturedActor,2022,Justin Austin,,
DramaDesk,FeaturedActor,2022,Justin Cooley,,
DramaDesk,FeaturedActor,2022,Jared Grimes,,
DramaDesk,FeaturedActor,2022,Tavon Olds-Sample,,
DramaDesk,FeaturedActress,2022,Patti LuPone,1,1
DramaDesk,FeaturedActress,2022,Judy Kuhn,,
DramaDesk,FeaturedActress,2022,Tamika Lawrence,,
DramaDesk,FeaturedActress,2022,Bonnie Milligan,,
DramaDesk,FeaturedActress,2022,Jennifer Simard,,
DramaDesk,Revival,2022,Company,1,1
DramaDesk,Revival,2022,Assassins,,
DramaDesk,Revival,2022,Baby,,
DramaDesk,Revival,2022,"Caroline, or Change",,
DramaDesk,Revival,2023,Parade,1,1
DramaDesk,Revival,2023,A Man of No Importance,,
DramaDesk,Revival,2023,Into the Woods,,
DramaDesk,Revival,2023,Merrily We Roll Along,,
DramaDesk,Revival,2023,Sweeney Todd,,
DramaDesk,Revival,2024,Cabaret at the Kit Kat Club,,
DramaDesk,Revival,2024,Gutenberg! The Musical!,,
DramaDesk,Revival,2024,I Can Get It for You Wholesale,1,
DramaDesk,Musical,2022,Kimberly Akimbo,1,0
DramaDesk,Musical,2022,The Hang,,
DramaDesk,Musical,2022,Harmony: A New Musical,,
DramaDesk,Musical,2022,Intimate Apparel,,
DramaDesk,Musical,2022,Six,,
DramaDesk,Musical,2023,Some Like It Hot,1,0
DramaDesk,Musical,2023,& Juliet,,
DramaDesk,Musical,2023,Between the Lines,,
DramaDesk,Musical,2023,F*ck7thGrade,,
DramaDesk,Musical,2023,Shucked,,
DramaDesk,Musical,2023,White Girl in Danger,,
DramaDesk,Musical,2024,Dead Outlaw,1,
DramaDesk,Musical,2024,Illinoise,,
DramaDesk,Musical,2024,Lizard Boy,,
DramaDesk,Musical,2024,Teeth,,
DramaDesk,Musical,2024,The Connector,,
DramaDesk,Musical,2024,The Outsiders,,
DramaDesk,Director,2022,Marianne Elliott,1,0
DramaDesk,Director,2022,John Doyle,,
DramaDesk,Director,2022,Lucy Moss and Jamie Armitage,,
DramaDesk,Director,2022,Bartlett Sher,,
DramaDesk,Director,2022,Jessica Stone,,
DramaDesk,Director,2023,Thomas Kail,1,0
DramaDesk,Director,2023,Jeff Calhoun,,
DramaDesk,Director,2023,John Doyle,,
DramaDesk,Director,2023,Maria Friedman,,
DramaDesk,Director,2023,Jack O'Brien,,
DramaDesk,Director,2024,David Cromer,,
DramaDesk,Director,2024,Rebecca Frecknall,,
DramaDesk,Director,2024,Daisy Prince,,
DramaDesk,Director,2024,Jessica Stone,1,
DramaDesk,Director,2024,Danya Taymor,,
DramaDesk,Score,2022,Six,1,1
DramaDesk,Score,2022,Paradise Square,,
DramaDesk,Score,2022,The Hang,,
DramaDesk,Score,2022,¡Americano!,,
DramaDesk,Score,2022,Kimberly Akimbo,,
DramaDesk,Score,2023,Shucked,1,0
DramaDesk,Score,2023,White Girl in Danger,,
DramaDesk,Score,2023,Almost Famous,,
DramaDesk,Score,2023,Between the Lines,,
DramaDesk,Score,2023,Weightless,,
DramaDesk,Score,2024,The Connector,,
DramaDesk,Score,2024,Lizard Boy,,
DramaDesk,Score,2024,The Outsiders,,
DramaDesk,Score,2024,Suffs,1,
DramaDesk,Score,2024,Dead Outlaw,,
